Number,Ticker,sector,city,industry,profitMargins,priceToBook,bookValue,shortRatio,revenuePerShare,operatingMargins,forwardEps,heldPercentInstitutions,heldPercentInsiders,marketCap,profitMargins,volume,totalDebt,totalCash,beta,totalCashPerShare,enterpriseValue,floatShares,volume,numberOfAnalystOpinions,COVID BEHAVIOUR,COVID DEPENDANCY,CLASS,15/3/2020 0:00,10/4/2020 0:00,10/5/2020 0:00,10/9/2020 0:00,1/1/2021 0:00,20/2/2021 0:00,15/5/2021 0:00,10/9/2021 0:00
64,CHTR,Communication Services,Stamford,Entertainment,0.07776,6.3448405,111.292,9.21,257.351,0.19451,27.81,0.71496004,0.32700002,1.33223E+11,0.07776,1268447,89452003328,1711000064,1.001613,9.308,2.37405E+11,112991834,1268447,27,IIIDI,2,0,439.65,460.4674988,529.0959961,603.8400116,642.4200134,612.5599854,687.6599976,793.2874908
65,CI,Healthcare,Bloomfield,Healthcare Plans,0.048800003,1.4671854,139.846,4.51,473.244,0.04874,23.12,0.90779,0.0149,70294667264,0.048800003,1478868,33735999488,5073999872,0.879912,14.919,98979414016,338767515,1478868,25,IIIDD,3,0,175.9660004,179.6775017,204.1839996,171.7775002,206.6899948,206.0699982,238.8400024,212.0800018
66,CINF,Financial Services,Fairfield,Insurance—Property & Casualty,0.31048,1.7359062,69.18,10.47,61.293,0.39515,4.51,0.70237,0.07432,19346137088,0.31048,420104,905000000,947000000,0.667573,5.878,18653263872,155355148,420104,5,DDIID,3,0,87.12999878,80.48750114,65.03199997,78.03499985,85.80249977,94.50800171,120.2,119.0749989
67,CL,Consumer Defensive,New York,Household & Personal Products,0.15917,243.8387,0.31,2.08,19.56,0.22969,3.51,0.79879,0.00223,63946797056,0.15917,3327953,7832999936,1057000000,0.596739,1.249,76135505920,792841941,3327953,20,IIIDD,2,0,67.20799942,69.91750145,73.40800018,76.59250069,84.15250015,77.96399994,82.93799896,77.25500107
68,CLX,Consumer Defensive,Oakland,Household & Personal Products,0.09672,27.36067,5.975,5.56,58.461,0.16591999,7.69,0.81281,0.00173,20332333056,0.09672,726051,3185999872,319000000,0.186681,2.597,23694106624,122309541,726051,16,IIDDD,3,0,169.1119995,182.0325012,203.6359985,215.4925003,199.9449997,187.1160004,174.7019989,169.1224976
69,CMA,Financial Services,Dallas,Banks—Regional,0.33787,1.5155005,55.579,2.41,23.442,0.44482,5.29,0.80370003,0.00566,11759602688,0.33787,946625,2876999936,17394999296,1.607853,129.887,-4413196288,132520130,946625,23,DIIII,8,1,36.66800003,31.86000013,42.22399979,39.61499977,57.39999962,65.97000122,72.71800079,72.72250175
70,CMCSA,Communication Services,Philadelphia,Entertainment,0.114379995,2.7145057,20.151,5.57,23.75,0.17011,3.69,0.85319,0.00666,2.51308E+11,0.114379995,24009743,1.03751E+11,12378000384,1.03604,2.697,3.66114E+11,4548567286,24009743,32,DIIII,3,0,37.46399994,37.21249962,41.06800003,44.27499962,50.86250019,52.59800034,57.22399979,59.82499981
71,CME,Financial Services,Chicago,Financial Data & Stock Exchanges,0.41746,2.7215393,74.05,3.61,12.847,0.53806,7.36,0.88064003,0.00436,72368816128,0.41746,1170280,4057400064,1191900032,0.43286,3.319,70752468992,354537709,1170280,15,IIIID,2,0,180.9099945,182.5950012,184.0899994,165.5400009,183.4625015,193.0160034,216.7980011,192.295002
72,CMG,Consumer Cyclical,Newport Beach,Restaurants,0.06436,24.401052,74.489,3.13,225.549,0.06552,32.43,0.92038,0.013760001,51166629888,0.06436,160496,3249262080,1058361024,1.352173,37.597,42942660608,27715836,160496,28,IIIII,3,0,630.4940063,722.6024933,1022.045984,1306.684998,1351.087494,1460.688013,1381.276001,1902.812469
73,CMS,Utilities,Jackson,Utilities—Regulated Electric,0.12749,3.0406432,19.782,2.23,24.607,0.22584,3.06,0.93557,0.0053,17411018752,0.12749,793142,12366999552,153000000,0.177947,0.528,31207905280,287936588,793142,18,DDDDI,2,0,61.39800034,59.78999996,59.51600037,60.97499943,59.72499943,55.73199997,60.12999878,64.07250118
74,CNC,Healthcare,St. Louis,Healthcare Plans,0.02276,1.4229783,45.208,2.16,186.435,0.04383,5.71,0.93881,0.01179,37487341568,0.02276,2678500,18328000512,11288999936,0.469021,19.372,49306451968,572327134,2678500,21,IIIDD,3,0,58.60999985,62.96000004,63.89199982,57.01249886,62.71250057,58.35599976,71.30399933,62.0824995
